generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,72,2.0204922361866187e-05,2.105355963947213e-05,2.0545005971583177e-05,1.729110839829907e-07
1,66,2.0285091095414056e-05,2.105355963947213e-05,2.0523965436104447e-05,1.6828234310989188e-07
2,68,2.0308249926523307e-05,2.0796000387233965e-05,2.054284670241188e-05,1.706673527917487e-07
3,69,2.0308249926523307e-05,2.087393503801604e-05,2.0573713145082515e-05,1.698574691486674e-07
4,78,2.0330223759190715e-05,2.087393503801604e-05,2.059942000628014e-05,1.581665341313284e-07
5,70,2.0330223759190715e-05,2.087393503801604e-05,2.061829941983002e-05,1.4788670366903013e-07
6,76,2.0330223759190715e-05,2.0796000387233965e-05,2.0604866198696826e-05,1.4389865502047197e-07
7,64,2.0330223759190715e-05,2.0796000387233965e-05,2.0600277523819835e-05,1.4619148707248837e-07
8,68,2.0330223759190715e-05,2.0796000387233965e-05,2.0591000948669687e-05,1.4432912273176949e-07
9,62,2.0330223759190715e-05,2.0796000387233965e-05,2.0596226767788755e-05,1.3723761800494354e-07
10,72,2.0330223759190715e-05,2.0796000387233965e-05,2.060667193709946e-05,1.3312020930735994e-07
11,70,2.0330223759190715e-05,2.0796000387233965e-05,2.060799613851448e-05,1.3391235768789379e-07
12,76,2.0360681013138824e-05,2.0796000387233965e-05,2.0615747558670557e-05,1.2342477386406422e-07
13,69,2.0360681013138824e-05,2.0796000387233965e-05,2.0609648528809054e-05,1.210938298073501e-07
14,76,2.0360681013138824e-05,2.0796000387233965e-05,2.060522036356338e-05,1.3411156934266662e-07
15,67,2.0360681013138824e-05,2.0796000387233965e-05,2.062844801936417e-05,1.3329865944711626e-07
16,66,2.0360681013138824e-05,2.0796000387233965e-05,2.0649822515386643e-05,1.2840429572138125e-07
17,70,2.0425111313186338e-05,2.0796000387233965e-05,2.065943025821723e-05,1.3188242995267207e-07
18,66,2.0425111313186338e-05,2.0796000387233965e-05,2.063443435597084e-05,1.32668765977497e-07
19,66,2.0425111313186338e-05,2.0796000387233965e-05,2.063217407136826e-05,1.2337226906984956e-07
20,66,2.0425111313186338e-05,2.0796000387233965e-05,2.0636432453389393e-05,1.34280018314103e-07
21,72,2.0425111313186338e-05,2.0796000387233965e-05,2.0647397164990343e-05,1.3584135111188798e-07
22,73,2.0425111313186338e-05,2.0796000387233965e-05,2.0684449557575232e-05,1.2813714845447011e-07
23,62,2.0425111313186338e-05,2.0796000387233965e-05,2.067682703253899e-05,1.3522398749571221e-07
24,64,2.0425111313186338e-05,2.0796000387233965e-05,2.0678826389064483e-05,1.3542424677241281e-07
25,70,2.0425111313186338e-05,2.0796000387233965e-05,2.0684520758208325e-05,1.4076924277407364e-07
26,70,2.0425111313186338e-05,2.0796000387233965e-05,2.0688935793036542e-05,1.4069611797043557e-07
27,74,2.0425111313186338e-05,2.0796000387233965e-05,2.0666176832886152e-05,1.4883544252504183e-07
28,68,2.0425111313186338e-05,2.0796000387233965e-05,2.064899707067611e-05,1.5663666849153781e-07
29,58,2.0348022107263698e-05,2.0796000387233965e-05,2.0636910313857663e-05,1.549779435406769e-07
30,72,2.0425111313186338e-05,2.0796000387233965e-05,2.0627700420000937e-05,1.4774677948085494e-07
31,68,2.0425111313186338e-05,2.0796000387233965e-05,2.0642659546376017e-05,1.436142082941555e-07
32,64,2.0425111313186338e-05,2.0939263745047324e-05,2.067342342037619e-05,1.3521800299190676e-07
33,57,2.0425111313186338e-05,2.0796000387233965e-05,2.067234621103002e-05,1.242414001579411e-07
34,66,2.0425111313186338e-05,2.0796000387233965e-05,2.0662668240990682e-05,1.233971583017602e-07
35,65,2.0425111313186338e-05,2.0796000387233965e-05,2.0665713062024113e-05,1.1049383665597651e-07
36,70,2.0425111313186338e-05,2.0796000387233965e-05,2.0660806622677088e-05,9.935876214086863e-08
37,62,2.0425111313186338e-05,2.0796000387233965e-05,2.0680424539943122e-05,9.413230227577915e-08
38,69,2.03968797994719e-05,2.0796000387233965e-05,2.0663886145962227e-05,1.0304577449796185e-07
39,74,2.0425111313186338e-05,2.0796000387233965e-05,2.065429404559323e-05,9.664632081786737e-08
40,68,2.0425111313186338e-05,2.0796000387233965e-05,2.0665044157895693e-05,7.951907449250977e-08
41,56,2.0425111313186338e-05,2.0796000387233965e-05,2.0659592001179845e-05,7.821957412171522e-08
42,70,2.0425111313186338e-05,2.0796000387233965e-05,2.0655364225994754e-05,6.23379132270562e-08
43,68,2.0425111313186338e-05,2.0796000387233965e-05,2.0660154514657466e-05,5.854716925842615e-08
44,69,2.0425111313186338e-05,2.0796000387233965e-05,2.0671826056127526e-05,7.378254595514286e-08
45,70,2.0606729121944175e-05,2.0796000387233965e-05,2.066932082996031e-05,6.188465462453205e-08
46,70,2.0606729121944175e-05,2.0796000387233965e-05,2.067588310459361e-05,6.285014181522992e-08
47,64,2.0457967330256475e-05,2.0796000387233965e-05,2.067493247746026e-05,7.112122030998552e-08
48,74,2.0606729121944175e-05,2.0796000387233965e-05,2.0686429268752866e-05,6.747955271220662e-08
49,64,2.060672912194419e-05,2.0796000387233965e-05,2.0694636525490565e-05,7.004241705611392e-08
50,66,2.060672912194419e-05,2.0796000387233965e-05,2.0697122155149577e-05,6.772268538369041e-08
51,68,2.060672912194419e-05,2.0796000387233965e-05,2.0701880920176388e-05,6.783540272036895e-08
52,70,2.060672912194419e-05,2.0796000387233965e-05,2.0719967399150756e-05,7.095362320494532e-08
53,66,2.060672912194419e-05,2.0796000387233965e-05,2.0724096265520786e-05,7.079362405223667e-08
54,72,2.060672912194419e-05,2.0870862963725532e-05,2.0727390553337683e-05,7.14075127735871e-08
55,62,2.060672912194419e-05,2.0870862963725532e-05,2.0723648520700715e-05,7.431065633747902e-08
56,74,2.060672912194419e-05,2.0870862963725532e-05,2.0714025796124312e-05,7.149425116362827e-08
57,70,2.0330287448753317e-05,2.0870862963725532e-05,2.070935316506103e-05,8.35968218375714e-08
58,60,2.0330287448753317e-05,2.0796000387233965e-05,2.0685769159466786e-05,8.69155655157842e-08
59,61,2.0330287448753317e-05,2.0796000387233965e-05,2.067379342784764e-05,9.596910222883703e-08
60,65,2.0330287448753317e-05,2.0796000387233965e-05,2.066767405652551e-05,9.230250733797625e-08
61,72,2.0330287448753317e-05,2.0796000387233965e-05,2.0671582140004603e-05,1.1304665914389294e-07
62,70,2.0330287448753317e-05,2.0796000387233965e-05,2.0690072788100654e-05,1.0899375314143317e-07
63,68,2.0330287448753317e-05,2.0796000387233965e-05,2.069103662647445e-05,9.651996034986919e-08
64,66,2.0330287448753317e-05,2.0796000387233965e-05,2.0695127019537328e-05,8.619213233599328e-08
65,70,2.0330287448753317e-05,2.0796000387233965e-05,2.0679595203863196e-05,1.1089487009716002e-07
66,68,2.0330287448753317e-05,2.0796000387233965e-05,2.066719396297711e-05,1.1692709056016489e-07
67,62,2.0330287448753317e-05,2.0796000387233965e-05,2.0658474984089574e-05,8.880228167768391e-08
68,66,2.0330287448753317e-05,2.0796000387233965e-05,2.0656137634903722e-05,1.043162352329083e-07
69,64,2.0330287448753317e-05,2.0796000387233965e-05,2.0630569502040487e-05,1.279580284634246e-07
70,72,2.0330287448753317e-05,2.0796000387233965e-05,2.0620330444464034e-05,1.412441908971831e-07
71,59,2.0330287448753317e-05,2.0796000387233965e-05,2.062918825547435e-05,1.3595402900309792e-07
72,76,2.0330287448753317e-05,2.0796000387233965e-05,2.062355529877797e-05,1.438816350400304e-07
73,62,2.0330287448753317e-05,2.0796000387233965e-05,2.063738855787018e-05,1.4295370213351937e-07
74,74,2.0330287448753317e-05,2.0796000387233965e-05,2.063714611732131e-05,1.3762803913720282e-07
75,64,2.0330287448753317e-05,2.0796000387233965e-05,2.0650596915535745e-05,1.3847105164886003e-07
76,68,2.0330287448753317e-05,2.0796000387233965e-05,2.063571607431363e-05,1.5286038943128333e-07
77,70,2.0330287448753317e-05,2.0796000387233965e-05,2.0614835783916853e-05,1.482287060985039e-07
78,74,2.0330287448753317e-05,2.0796000387233965e-05,2.06173513121019e-05,1.4212628630325565e-07
79,60,2.0330287448753317e-05,2.0796000387233965e-05,2.064033383161258e-05,1.585020926251089e-07
80,72,2.0330287448753317e-05,2.0796000387233965e-05,2.0686218728576492e-05,1.1754309029388986e-07
81,76,2.0330287448753317e-05,2.0796000387233965e-05,2.070774712424245e-05,1.1050444859254305e-07
82,66,2.0330287448753317e-05,2.0796000387233965e-05,2.071423568508602e-05,1.0126427782657637e-07
83,72,2.0330287448753317e-05,2.0796000387233965e-05,2.0726556579269805e-05,9.02218387007806e-08
84,74,2.0330287448753317e-05,2.0796000387233965e-05,2.0718220947364033e-05,9.340086456736717e-08
85,60,2.0330287448753317e-05,2.0796000387233965e-05,2.0695410139800077e-05,9.072673198645614e-08
86,78,2.0330287448753317e-05,2.0796000387233965e-05,2.068455165995474e-05,9.601607518555115e-08
87,70,2.0330287448753317e-05,2.0796000387233965e-05,2.068009756972376e-05,1.0286885474358785e-07
88,72,2.0330287448753317e-05,2.0796000387233965e-05,2.067432045440952e-05,1.111085106399096e-07
89,69,2.0330287448753317e-05,2.0796000387233965e-05,2.069227094272979e-05,1.362566823010298e-07
90,70,2.0330287448753317e-05,2.0796000387233965e-05,2.066799840377896e-05,1.6056023571900583e-07
91,62,2.0330287448753317e-05,2.0796000387233965e-05,2.0670788453934144e-05,1.6335324423933853e-07
92,72,2.0330287448753317e-05,2.0796000387233965e-05,2.0700509309698577e-05,1.3538885593382312e-07
93,66,2.0330287448753317e-05,2.0796000387233965e-05,2.071785309003952e-05,1.3280110330624956e-07
94,71,2.0330287448753317e-05,2.0796000387233965e-05,2.072793781737747e-05,1.0606696152300728e-07
95,68,2.0330287448753317e-05,2.0796000387233965e-05,2.0732867025600848e-05,9.632338349399423e-08
96,67,2.0330287448753317e-05,2.0796000387233965e-05,2.073374231023318e-05,9.913908702008491e-08
97,70,2.0330287448753317e-05,2.0796000387233965e-05,2.07379468595976e-05,9.948510894721207e-08
98,58,2.0330287448753317e-05,2.0796000387233965e-05,2.0741414729068745e-05,8.960551853694848e-08
99,66,2.0330287448753317e-05,2.0837465088382348e-05,2.0749925423423626e-05,8.388703762810823e-08
