generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,72,1.2535325982022962e-05,1.4775607567473567e-05,1.370192313413881e-05,4.608542006762206e-07
1,66,1.2932857383389589e-05,1.4775607567473567e-05,1.367007752324767e-05,4.454680683661108e-07
2,68,1.2984318138867314e-05,1.4394564196314953e-05,1.3743198932790853e-05,4.5708033429102475e-07
3,69,1.2984318138867314e-05,1.4394564196314953e-05,1.3832734129096085e-05,4.487445030444069e-07
4,78,1.3151646027669868e-05,1.4394564196314953e-05,1.3906210392769728e-05,4.0741068371596514e-07
5,70,1.3151646027669868e-05,1.4394564196314953e-05,1.3949978245654813e-05,3.878335919577789e-07
6,76,1.3151646027669868e-05,1.4394564196314953e-05,1.3935707974360018e-05,3.8008706144561825e-07
7,64,1.3151646027669868e-05,1.5046003068691468e-05,1.395592875894858e-05,4.071412226673905e-07
8,68,1.3151646027669868e-05,1.5046003068691468e-05,1.3950841749418852e-05,4.22860640585772e-07
9,62,1.3151646027669868e-05,1.5046003068691468e-05,1.3997146085901146e-05,4.168158357574623e-07
10,72,1.3151646027669868e-05,1.5046003068691468e-05,1.4045277692633767e-05,4.2208134107580577e-07
11,70,1.3151646027669868e-05,1.5046003068691468e-05,1.4022853930704916e-05,3.9713262699722974e-07
12,76,1.3273073711807132e-05,1.5046003068691468e-05,1.4049117325339006e-05,3.390984305314464e-07
13,69,1.3048399687649559e-05,1.5046003068691468e-05,1.4030441955706491e-05,3.483739098366071e-07
14,76,1.3048399687649559e-05,1.5046003068691468e-05,1.4041473988832587e-05,3.986553335269468e-07
15,67,1.3273073711807132e-05,1.5046003068691468e-05,1.4093692454823013e-05,3.5524375742645173e-07
16,66,1.3273073711807132e-05,1.5046003068691468e-05,1.4177361578593198e-05,3.741393763027315e-07
17,70,1.3470135224689373e-05,1.5046003068691468e-05,1.4234560820884108e-05,4.2155923018211826e-07
18,66,1.3470135224689373e-05,1.5046003068691468e-05,1.4177779113469827e-05,4.1258198700938863e-07
19,66,1.3470135224689373e-05,1.5046003068691468e-05,1.4190889473285819e-05,3.3087606398286296e-07
20,66,1.3470135224689373e-05,1.5046003068691468e-05,1.4185574651724796e-05,3.412450343260131e-07
21,72,1.3470135224689373e-05,1.5046003068691468e-05,1.4187007605323486e-05,3.0391528971042945e-07
22,73,1.3470135224689373e-05,1.5046003068691468e-05,1.424993369714357e-05,3.028924975744513e-07
23,62,1.3470135224689373e-05,1.5046003068691468e-05,1.4253062547630468e-05,3.331290909768079e-07
24,64,1.3562853033070631e-05,1.5046003068691468e-05,1.4293469579414629e-05,3.175459996586027e-07
25,70,1.3562853033070631e-05,1.5046003068691468e-05,1.4313486151968183e-05,3.896148590277062e-07
26,70,1.3562853033070631e-05,1.5046003068691468e-05,1.4279390509793215e-05,3.6720482693103716e-07
27,74,1.3562853033070631e-05,1.5046003068691468e-05,1.4239971860972162e-05,3.621588000952815e-07
28,68,1.3562853033070631e-05,1.5046003068691468e-05,1.416868597178755e-05,3.9083331354315174e-07
29,58,1.3477264071818592e-05,1.5046003068691468e-05,1.4182467064687354e-05,3.7552391488124823e-07
30,72,1.353154394938613e-05,1.5046003068691468e-05,1.4204878213834782e-05,4.069343800517341e-07
31,68,1.3562853033070631e-05,1.5046003068691468e-05,1.4297796405537055e-05,4.18350613858415e-07
32,64,1.3562853033070631e-05,1.5046003068691468e-05,1.4368311666387318e-05,4.0590786937006e-07
33,57,1.3562853033070631e-05,1.5046003068691468e-05,1.4365242049341681e-05,3.829776669378023e-07
34,66,1.3562853033070631e-05,1.5046003068691468e-05,1.4348277730736558e-05,3.444277115367525e-07
35,65,1.3562853033070631e-05,1.5046003068691468e-05,1.4339523385515857e-05,2.8661588555344313e-07
36,70,1.3562853033070631e-05,1.5046003068691468e-05,1.4333990513647088e-05,2.58207475121596e-07
37,62,1.3808646354982409e-05,1.5046003068691468e-05,1.4362923631012873e-05,2.3415785332486363e-07
38,69,1.3808646354982409e-05,1.5046003068691468e-05,1.4321583556060988e-05,2.2905908838153433e-07
39,74,1.3808646354982409e-05,1.5046003068691468e-05,1.430041218938354e-05,1.9745444834862688e-07
40,68,1.3808646354982409e-05,1.4437212750456012e-05,1.4324827295999964e-05,1.3824989949115622e-07
41,56,1.3808646354982409e-05,1.4437212750456012e-05,1.4313778621611432e-05,1.4037816394414583e-07
42,70,1.3808646354982409e-05,1.527531283418608e-05,1.4328407543060716e-05,1.570038682880169e-07
43,68,1.3808646354982409e-05,1.527531283418608e-05,1.434112159662956e-05,1.48584520358019e-07
44,69,1.3808646354982409e-05,1.5471241690013507e-05,1.4387205266103861e-05,2.503222866843144e-07
45,70,1.3988436105179022e-05,1.527531283418608e-05,1.4357757988081704e-05,1.8307628214021652e-07
46,70,1.3988436105179022e-05,1.527531283418608e-05,1.439388261400229e-05,2.2758696394714873e-07
47,64,1.413518783485388e-05,1.527531283418608e-05,1.4404798384981066e-05,2.442086920601615e-07
48,74,1.4178810877624997e-05,1.527531283418608e-05,1.4433915799497338e-05,2.4692205493572204e-07
49,64,1.4178810877624997e-05,1.527531283418608e-05,1.4455233427218144e-05,2.5774398040231594e-07
50,66,1.4178810877624997e-05,1.527531283418608e-05,1.4459426196124848e-05,2.2899065625914196e-07
51,68,1.4178810877624997e-05,1.527531283418608e-05,1.4461843884058892e-05,2.1665138749236813e-07
52,70,1.4178810877624997e-05,1.527531283418608e-05,1.4475437479123473e-05,1.7562909849571733e-07
53,66,1.4178810877624997e-05,1.527531283418608e-05,1.4498341791565749e-05,2.1269055457128868e-07
54,72,1.329167474009215e-05,1.527531283418608e-05,1.448613140057421e-05,2.5387581867128125e-07
55,62,1.329167474009215e-05,1.527531283418608e-05,1.4475133627934757e-05,3.285496787230958e-07
56,74,1.329167474009215e-05,1.527531283418608e-05,1.4492551420535599e-05,3.248280620661475e-07
57,70,1.329167474009215e-05,1.527531283418608e-05,1.4470173471601537e-05,3.3055449995742915e-07
58,60,1.329167474009215e-05,1.527531283418608e-05,1.4415261824277386e-05,3.6828559721779355e-07
59,61,1.329167474009215e-05,1.527531283418608e-05,1.4381845471923268e-05,3.863421513890813e-07
60,65,1.329167474009215e-05,1.4918759343092418e-05,1.4340287286924335e-05,3.5113386460624915e-07
61,72,1.329167474009215e-05,1.4802075214931846e-05,1.431160071694967e-05,4.037769997114862e-07
62,70,1.329167474009215e-05,1.4802075214931846e-05,1.4329658115567526e-05,4.2269158304897916e-07
63,68,1.329167474009215e-05,1.5540993187284992e-05,1.438101741298613e-05,3.909559424815544e-07
64,66,1.329167474009215e-05,1.5540993187284992e-05,1.4417404616309432e-05,3.116870556767263e-07
65,70,1.329167474009215e-05,1.5540993187284992e-05,1.4403915727704683e-05,3.2181155776704475e-07
66,68,1.3016449404563466e-05,1.475202483262356e-05,1.4370277597343437e-05,3.160802036146132e-07
67,62,1.329167474009215e-05,1.475202483262356e-05,1.4366424904722871e-05,2.0140575479191114e-07
68,66,1.329167474009215e-05,1.5009302407018743e-05,1.4368058785982655e-05,2.4734021013898324e-07
69,64,1.329167474009215e-05,1.5178531471595667e-05,1.4307292668810248e-05,3.039310728872548e-07
70,72,1.329167474009215e-05,1.4612884570314808e-05,1.4272242987544456e-05,3.290279241225206e-07
71,59,1.329167474009215e-05,1.4612884570314808e-05,1.430475393188142e-05,2.917177282853431e-07
72,76,1.329167474009215e-05,1.4612884570314808e-05,1.4284936016323405e-05,3.295707082240513e-07
73,62,1.329167474009215e-05,1.4612884570314808e-05,1.4308456984937195e-05,3.3691561646576357e-07
74,74,1.329167474009215e-05,1.49479672895858e-05,1.4323740526710681e-05,3.3889724768377827e-07
75,64,1.329167474009215e-05,1.49479672895858e-05,1.4366522610225678e-05,2.610093372542832e-07
76,68,1.329167474009215e-05,1.4612884570314808e-05,1.4342797608155422e-05,2.848400811034875e-07
77,70,1.329167474009215e-05,1.4612884570314808e-05,1.4315157719872547e-05,2.8383817808091133e-07
78,74,1.329167474009215e-05,1.4612884570314808e-05,1.4333487183150768e-05,2.581518390574767e-07
79,60,1.329167474009215e-05,1.4812656609001105e-05,1.4373919843084246e-05,3.0485428706692e-07
80,72,1.329167474009215e-05,1.4643656635469689e-05,1.4451113741218325e-05,2.4483932700446276e-07
81,76,1.329167474009215e-05,1.4643656635469689e-05,1.4498067254145083e-05,2.010182691069742e-07
82,66,1.4009089963010083e-05,1.4778331260852102e-05,1.452807885567201e-05,1.3890468533266577e-07
83,72,1.4009089963010083e-05,1.4612884570314808e-05,1.4541788016748515e-05,1.2557641750075695e-07
84,74,1.4009089963010083e-05,1.4612884570314808e-05,1.4531584504819315e-05,1.210295365468174e-07
85,60,1.4009089963010083e-05,1.4612884570314808e-05,1.4510459101724758e-05,1.244925626300395e-07
86,78,1.4009089963010083e-05,1.4612884570314808e-05,1.4505841113571246e-05,1.340284255366194e-07
87,70,1.3704225426517166e-05,1.4612884570314808e-05,1.4487995838027476e-05,1.6571156577916592e-07
88,72,1.3704225426517166e-05,1.4612884570314808e-05,1.4484527990432512e-05,1.6870605465429112e-07
89,69,1.3679196808118196e-05,1.53385055575189e-05,1.4507608048891531e-05,2.3816667622850983e-07
90,70,1.3679196808118196e-05,1.4612884570314808e-05,1.4464803640311564e-05,2.7893193711677806e-07
91,62,1.3679196808118196e-05,1.4612884570314808e-05,1.4467123695001985e-05,2.9271386994517647e-07
92,72,1.3704225426517166e-05,1.4612884570314808e-05,1.4502026895068916e-05,2.394560315317659e-07
93,66,1.3704225426517166e-05,1.4612884570314808e-05,1.4507509554389765e-05,2.56362201366441e-07
94,71,1.3704225426517166e-05,1.4874539840681182e-05,1.455952216500977e-05,1.9016914768620872e-07
95,68,1.3704225426517166e-05,1.4874539840681182e-05,1.4573074140062858e-05,1.8377601987634021e-07
96,67,1.3704225426517166e-05,1.4874539840681182e-05,1.4581045324099772e-05,1.7732957235066536e-07
97,70,1.3704225426517166e-05,1.4874539840681182e-05,1.4595930182219409e-05,1.925068923992127e-07
98,58,1.3704225426517166e-05,1.4874539840681182e-05,1.4619340022602461e-05,1.784947352248741e-07
99,66,1.3704225426517166e-05,1.4949995112620034e-05,1.4643961030280788e-05,1.8071994374328083e-07
