generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,72,3.89954231129391e-05,4.004976886893542e-05,3.9204198452932276e-05,2.723369087623713e-07
1,64,3.89954231129391e-05,4.004976886893542e-05,3.914012767940744e-05,2.4609524100908804e-07
2,63,3.89954231129391e-05,4.004976886893542e-05,3.9109055912350075e-05,2.3156453308891924e-07
3,67,3.89954231129391e-05,4.004976886893542e-05,3.9094818891295575e-05,2.263046196056077e-07
4,73,3.89954231129391e-05,4.004976886893542e-05,3.906068615831484e-05,1.5753667043309711e-07
5,67,3.89954231129391e-05,4.004976886893542e-05,3.909367353027328e-05,2.0431031721483727e-07
6,60,3.89954231129391e-05,4.004976886893542e-05,3.905649786473133e-05,1.5206439578057324e-07
7,64,3.89954231129391e-05,3.9473411872432034e-05,3.904556046519161e-05,1.0426762725228599e-07
8,70,3.89954231129391e-05,3.9473411872432034e-05,3.904169190540647e-05,1.033855201196562e-07
9,76,3.89954231129391e-05,3.9473411872432034e-05,3.9055076070464514e-05,1.2035014679711006e-07
10,68,3.89954231129391e-05,3.9473411872432034e-05,3.90733681079698e-05,1.4204675375675724e-07
11,74,3.89954231129391e-05,3.9473411872432034e-05,3.910063255668297e-05,1.6162774529681977e-07
12,68,3.89954231129391e-05,3.9473411872432034e-05,3.906398687484284e-05,1.335273518622248e-07
13,62,3.89954231129391e-05,3.9473411872432034e-05,3.9049799169796825e-05,1.044698584073165e-07
14,61,3.89954231129391e-05,3.9473411872432034e-05,3.9030061475136956e-05,9.633344294673134e-08
15,65,3.89954231129391e-05,3.9473411872432034e-05,3.9049817061300316e-05,1.1112381485998242e-07
16,67,3.89954231129391e-05,3.923370183254592e-05,3.902237562699067e-05,6.452364901083702e-08
17,62,3.89954231129391e-05,3.923370183254592e-05,3.9024555084268526e-05,6.64911292145297e-08
18,74,3.89954231129391e-05,3.916977969516796e-05,3.9023756057551305e-05,6.432168869420814e-08
19,58,3.89954231129391e-05,3.916977969516796e-05,3.903465334394061e-05,7.280822737125477e-08
20,70,3.89954231129391e-05,3.916977969516796e-05,3.902811497210702e-05,6.805353168977624e-08
21,58,3.89954231129391e-05,3.9534902464395014e-05,3.9032679006722364e-05,8.700581084404897e-08
22,70,3.89954231129391e-05,3.916977969516796e-05,3.903029442938489e-05,6.974263288989346e-08
23,74,3.89954231129391e-05,3.916977969516796e-05,3.902811497210703e-05,6.805353168977624e-08
24,66,3.89954231129391e-05,3.916977969516796e-05,3.904119171577419e-05,7.67156578436721e-08
25,60,3.89954231129391e-05,3.9627478457318366e-05,3.904255403574535e-05,9.804284569630778e-08
26,70,3.89954231129391e-05,3.9627478457318366e-05,3.905617596207697e-05,1.3322973030074769e-07
27,66,3.89954231129391e-05,3.9627478457318366e-05,3.905481364210581e-05,1.1857558115483368e-07
28,66,3.89954231129391e-05,3.9627478457318366e-05,3.907061502571529e-05,1.48057180213751e-07
29,72,3.89954231129391e-05,3.9627478457318366e-05,3.9092954781158355e-05,1.708498849254217e-07
30,70,3.89954231129391e-05,3.9627478457318366e-05,3.9076336260242175e-05,1.6012959348660894e-07
31,66,3.89954231129391e-05,3.9627478457318366e-05,3.906843556843744e-05,1.478645697223565e-07
32,70,3.89954231129391e-05,3.9627478457318366e-05,3.9074973940271014e-05,1.483456223645374e-07
33,72,3.89954231129391e-05,3.9627478457318366e-05,3.907442875760655e-05,1.215135219226684e-07
34,68,3.89954231129391e-05,3.9627478457318366e-05,3.9068707523079674e-05,1.0499119664193301e-07
35,63,3.89954231129391e-05,3.9627478457318366e-05,3.907878767216228e-05,1.2172831884694685e-07
36,64,3.899542311293911e-05,3.9627478457318366e-05,3.909676851304962e-05,1.4786444772448865e-07
37,68,3.899542311293911e-05,3.9627478457318366e-05,3.9116383628550364e-05,1.4464910364818602e-07
38,66,3.899542311293911e-05,3.9627478457318366e-05,3.912782609760412e-05,1.650805945286777e-07
39,68,3.899542311293911e-05,3.9627478457318366e-05,3.9117745948521524e-05,1.5635088656988798e-07
40,66,3.899542311293911e-05,3.9627478457318366e-05,3.909540619307846e-05,1.3522019966400966e-07
41,58,3.899542311293911e-05,3.9627478457318366e-05,3.907742535219111e-05,1.0577995929304536e-07
42,72,3.899542311293911e-05,3.9627478457318366e-05,3.9066528065801815e-05,1.0467969764194752e-07
43,70,3.899542311293911e-05,3.9627478457318366e-05,3.906216915124609e-05,1.039168626662446e-07
44,68,3.899542311293911e-05,3.9226159066246144e-05,3.9068049945246994e-05,8.689602313868848e-08
45,58,3.899542311293911e-05,3.916977969516796e-05,3.9065165745830654e-05,8.541693195166438e-08
46,66,3.899542311293911e-05,3.916977969516796e-05,3.9062986288552795e-05,8.494293193296151e-08
47,64,3.899542311293911e-05,3.916977969516796e-05,3.906952466038638e-05,8.619195563697638e-08
48,70,3.899542311293911e-05,3.916977969516796e-05,3.905862737399708e-05,8.381706463492999e-08
49,62,3.899542311293911e-05,3.916977969516796e-05,3.90738835749421e-05,8.674130444601094e-08
50,69,3.899542311293911e-05,3.916977969516796e-05,3.9067345203108513e-05,8.583299350768591e-08
51,66,3.899542311293911e-05,3.916977969516796e-05,3.9067345203108513e-05,8.583299350768591e-08
52,70,3.899542311293911e-05,3.916977969516796e-05,3.9065165745830654e-05,8.541693195166438e-08
53,58,3.899542311293911e-05,3.916977969516796e-05,3.905862737399708e-05,8.381706463739721e-08
54,72,3.899542311293911e-05,3.983723354907511e-05,3.905825271805947e-05,1.184506909248216e-07
55,66,3.899542311293911e-05,3.983723354907511e-05,3.906915000444877e-05,1.2017688853820947e-07
56,69,3.899542311293911e-05,3.983723354907511e-05,3.9049534888948026e-05,1.163186583008406e-07
57,66,3.899542311293911e-05,3.916977969516796e-05,3.903901225849633e-05,7.549861476101165e-08
58,72,3.899542311293911e-05,3.916977969516796e-05,3.904555063032991e-05,7.891320933807348e-08
59,64,3.899542311293911e-05,3.916977969516796e-05,3.906080683127493e-05,8.441001740971415e-08
60,72,3.899542311293911e-05,3.916977969516796e-05,3.906080683127493e-05,8.441001740971415e-08
61,66,3.899542311293911e-05,3.916977969516796e-05,3.9065165745830654e-05,8.541693195045387e-08
62,68,3.899542311293911e-05,3.916977969516796e-05,3.9062986288552795e-05,8.494293193296151e-08
63,68,3.899542311293911e-05,3.916977969516796e-05,3.905862737399707e-05,8.381706463739721e-08
64,72,3.899542311293911e-05,3.916977969516796e-05,3.9080421946775675e-05,8.715104364066757e-08
65,62,3.899542311293911e-05,3.916977969516796e-05,3.9095678147720695e-05,8.619195564057523e-08
66,72,3.89954231129391e-05,3.916977969516796e-05,3.909785760499856e-05,8.583299350768591e-08
67,61,3.89954231129391e-05,3.916977969516796e-05,3.911311380594358e-05,8.166423802849116e-08
68,70,3.89954231129391e-05,3.916977969516796e-05,3.910439597683214e-05,8.441001741093909e-08
69,66,3.89954231129391e-05,3.916977969516796e-05,3.911093434866572e-05,8.244573179655406e-08
70,65,3.89954231129391e-05,3.916977969516796e-05,3.9106575434110004e-05,8.381706463739721e-08
71,60,3.89954231129391e-05,3.928781763719364e-05,3.9112409822941046e-05,8.451587545373907e-08
72,63,3.89954231129391e-05,3.916977969516796e-05,3.909131923316498e-05,8.674130444720297e-08
73,74,3.89954231129391e-05,3.916977969516796e-05,3.908913977588712e-05,8.693275640072941e-08
74,70,3.89954231129391e-05,3.916977969516796e-05,3.909349869044284e-05,8.649452925337997e-08
75,68,3.89954231129391e-05,3.9595365869160465e-05,3.9092280145784166e-05,1.0343098268007292e-07
76,68,3.89954231129391e-05,3.916977969516797e-05,3.909349869044284e-05,8.649452925337997e-08
77,74,3.89954231129391e-05,3.916977969516797e-05,3.909131923316498e-05,8.674130444720297e-08
78,72,3.89954231129391e-05,3.916977969516797e-05,3.9080421946775675e-05,8.715104364066757e-08
79,62,3.899542311293911e-05,3.916977969516796e-05,3.907388357494209e-05,8.6741304448395e-08
80,68,3.899542311293911e-05,3.916977969516796e-05,3.9067345203108513e-05,8.583299350527663e-08
81,66,3.899542311293911e-05,3.916977969516796e-05,3.906080683127492e-05,8.441001741338897e-08
82,72,3.899542311293911e-05,3.916977969516796e-05,3.906516574583065e-05,8.541693195166438e-08
83,70,3.899542311293911e-05,3.916977969516796e-05,3.905862737399707e-05,8.381706463739721e-08
84,68,3.899542311293911e-05,3.916977969516796e-05,3.906516574583065e-05,8.541693195166438e-08
85,70,3.899542311293911e-05,3.916977969516796e-05,3.906298628855279e-05,8.494293193417876e-08
86,73,3.899542311293911e-05,3.916977969516796e-05,3.906080683127492e-05,8.441001741338897e-08
87,62,3.899542311293911e-05,3.9211589036427776e-05,3.9063508905318536e-05,8.572340911058511e-08
88,68,3.899542311293911e-05,3.9211589036427776e-05,3.906132944804068e-05,8.5208745236818e-08
89,68,3.899542311293911e-05,3.916977969516796e-05,3.9056447916719205e-05,8.31627894082386e-08
90,76,3.899542311293911e-05,3.916977969516796e-05,3.9052089002163486e-05,8.166423802722503e-08
91,62,3.899542311293911e-05,3.916977969516796e-05,3.907170411766423e-05,8.64945292545754e-08
92,70,3.899542311293911e-05,3.916977969516796e-05,3.907388357494209e-05,8.674130444720297e-08
93,68,3.899542311293911e-05,3.916977969516796e-05,3.908913977588712e-05,8.693275640072941e-08
94,70,3.899542311293911e-05,3.916977969516796e-05,3.909131923316498e-05,8.674130444720297e-08
95,72,3.899542311293911e-05,3.916977969516796e-05,3.908478086133139e-05,8.715104364185398e-08
96,68,3.899542311293911e-05,3.916977969516796e-05,3.9082601404053534e-05,8.717829111459065e-08
97,64,3.899542311293911e-05,3.916977969516796e-05,3.9078242489497816e-05,8.70692500555485e-08
98,70,3.899542311293911e-05,3.916977969516796e-05,3.907170411766423e-05,8.64945292545754e-08
99,70,3.899542311293911e-05,3.9339478985073e-05,3.9076004816065905e-05,9.102947288329836e-08
